batch,scroll,window,direction,frac200,blobs_letterlike,p999,mean,verdict
p0125_b2_batch,PHerc0125,w059,ink,0.00000,0,182.0,80.7,negative
p0125_b2_batch,PHerc0125,w059,ink_reverse,0.00004,0,185.0,82.47,negative
p0125_b2_batch,PHerc0125,w060,ink,0.00000,0,180.0,79.91,negative
p0125_b2_batch,PHerc0125,w060,ink_reverse,0.00000,0,171.0,78.67,negative
p0125_b2_batch,PHerc0125,w061,ink,0.00016,1,177.0,80.78,negative
p0125_b2_batch,PHerc0125,w061,ink_reverse,0.00001,0,183.0,80.58,negative
p0125_b2_batch,PHerc0125,w062,ink,0.00001,0,185.80000000074506,80.98,negative
p0125_b2_batch,PHerc0125,w062,ink_reverse,0.00000,0,174.0,81.11,negative
p0125_b2_batch,PHerc0125,w063,ink,0.00000,0,180.0,81.75,negative
p0125_b2_batch,PHerc0125,w063,ink_reverse,0.00000,0,175.0,81.96,negative
p0125_b2_batch,PHerc0125,w064,ink,0.00000,0,183.0,84.09,negative
p0125_b2_batch,PHerc0125,w064,ink_reverse,0.00000,0,181.0,84.68,negative
p0125_b2_batch,PHerc0125,w065,ink,0.00000,0,181.0,84.28,negative
p0125_b2_batch,PHerc0125,w065,ink_reverse,0.00000,0,185.0,85.6,negative
p0125_b2_batch,PHerc0125,w066,ink,0.00001,0,187.0,83.93,negative
p0125_b2_batch,PHerc0125,w066,ink_reverse,0.00003,0,186.0,82.57,negative
p0125_b2_batch,PHerc0125,w067,ink,0.00010,1,185.0,83.51,negative
p0125_b2_batch,PHerc0125,w067,ink_reverse,0.00010,1,183.0,83.89,negative
p0125_b2_batch,PHerc0125,w068,ink,0.00000,0,176.0,82.63,negative
p0125_b2_batch,PHerc0125,w068,ink_reverse,0.00006,0,177.0,83.01,negative
p0125_b2_batch,PHerc0125,w069,ink,0.00000,0,184.0,81.31,negative
p0125_b2_batch,PHerc0125,w069,ink_reverse,0.00001,0,181.0,81.91,negative
p0125_b2_batch,PHerc0125,w070,ink,0.00001,0,183.0,82.55,negative
p0125_b2_batch,PHerc0125,w070,ink_reverse,0.00001,0,176.0,81.91,negative
p0125_b2_batch,PHerc0125,w071,ink,0.00004,0,180.0,81.32,negative
p0125_b2_batch,PHerc0125,w071,ink_reverse,0.00001,0,181.0,81.88,negative
p0125_b2_batch,PHerc0125,w072,ink,0.00007,0,172.0,80.69,negative
p0125_b2_batch,PHerc0125,w072,ink_reverse,0.00000,0,181.0,80.07,negative
p0125_b2_batch,PHerc0125,w073,ink,0.00005,0,178.0,81.17,negative
p0125_b2_batch,PHerc0125,w073,ink_reverse,0.00000,0,182.0,81.29,negative
p0125_b2_batch,PHerc0125,w074,ink,0.00002,0,181.0,80.77,negative
p0125_b2_batch,PHerc0125,w074,ink_reverse,0.00001,0,177.0,80.82,negative
p0125_b2_batch,PHerc0125,w075,ink,0.00000,0,172.0,80.9,negative
p0125_b2_batch,PHerc0125,w075,ink_reverse,0.00004,0,185.0,80.08,negative
p0125_b2_batch,PHerc0125,w076,ink,0.00000,0,171.0,81.46,negative
p0125_b2_batch,PHerc0125,w076,ink_reverse,0.00001,0,180.0,82.14,negative
p0125_b2_batch,PHerc0125,w077,ink,0.00016,1,191.0,81.32,negative
p0125_b2_batch,PHerc0125,w077,ink_reverse,0.00004,0,185.0,82.4,negative
p0125_b2_batch,PHerc0125,w078,ink,0.00004,0,186.0,82.98,negative
p0125_b2_batch,PHerc0125,w078,ink_reverse,0.00000,0,184.0,82.71,negative
p0125_b2_batch,PHerc0125,w079,ink,0.00031,1,190.0,83.92,negative
p0125_b2_batch,PHerc0125,w079,ink_reverse,0.00000,0,185.0,83.81,negative
p0125_b2_batch,PHerc0125,w080,ink,0.00013,1,192.0,87.18,negative
p0125_b2_batch,PHerc0125,w080,ink_reverse,0.00000,0,185.0,86.08,negative
p0125_b2_batch,PHerc0125,w081,ink,0.00013,1,188.0,87.71,negative
p0125_b2_batch,PHerc0125,w081,ink_reverse,0.00000,0,185.0,88.03,negative
p0125_b2_batch,PHerc0125,w082,ink,0.00001,0,188.0,87.11,negative
p0125_b2_batch,PHerc0125,w082,ink_reverse,0.00006,0,191.0,86.93,negative
p0125_b2_batch,PHerc0125,w083,ink,0.00007,0,188.0,86.52,negative
p0125_b2_batch,PHerc0125,w083,ink_reverse,0.00014,1,191.0,86.83,negative
p0125_b2_batch,PHerc0125,w084,ink,0.00003,0,187.0,85.46,negative
p0125_b2_batch,PHerc0125,w084,ink_reverse,0.00002,0,182.0,84.74,negative
p0125_b2_batch,PHerc0125,w086,ink,0.00018,0,195.0,87.88,negative
p0125_b2_batch,PHerc0125,w086,ink_reverse,0.00001,0,187.0,88.01,negative
p0125_b2_batch,PHerc0125,w087,ink,0.00001,0,188.0,88.29,negative
p0125_b2_batch,PHerc0125,w087,ink_reverse,0.00000,0,188.0,87.97,negative
p0125_b2_batch,PHerc0125,w089,ink,0.00001,0,184.0,86.71,negative
p0125_b2_batch,PHerc0125,w089,ink_reverse,0.00020,1,194.0,87.81,negative
p0125_batch_acw10k,PHerc0125,w091,ink,0.00001,0,186.0,81.37,negative
p0125_batch_acw10k,PHerc0125,w091,ink_reverse,0.00001,0,185.0,81.88,negative
p0125_batch_acw10k,PHerc0125,w093,ink,0.00066,3,198.0,82.42,negative
p0125_batch_acw10k,PHerc0125,w093,ink_reverse,0.00001,0,185.0,84.88,negative
p0125_batch_acw10k,PHerc0125,w095,ink,0.00006,0,186.0,82.68,negative
p0125_batch_acw10k,PHerc0125,w095,ink_reverse,0.00018,1,189.0,82.87,negative
p0125_batch_acw10k,PHerc0125,w097,ink,0.00001,0,180.0,83.58,negative
p0125_batch_acw10k,PHerc0125,w097,ink_reverse,0.00020,1,189.0,82.92,negative
p0125_batch_acw10k,PHerc0125,w099,ink,0.00009,0,190.0,83.07,negative
p0125_batch_acw10k,PHerc0125,w099,ink_reverse,0.00025,1,196.0,83.39,negative
p0125_batch_acw10k,PHerc0125,w101,ink,0.00009,0,191.0,85.02,negative
p0125_batch_acw10k,PHerc0125,w101,ink_reverse,0.00000,0,188.0,84.4,negative
p0125_batch_acw10k,PHerc0125,w103,ink,0.00017,1,192.0,85.39,negative
p0125_batch_acw10k,PHerc0125,w103,ink_reverse,0.00014,0,193.0,86.0,negative
p0125_batch_acw10k,PHerc0125,w105,ink,0.00001,0,190.0,84.72,negative
p0125_batch_acw10k,PHerc0125,w105,ink_reverse,0.00013,1,188.0,83.97,negative
p0125_batch_acw10k,PHerc0125,w107,ink,0.00015,1,193.0,84.22,negative
p0125_batch_acw10k,PHerc0125,w107,ink_reverse,0.00011,0,184.0,85.07,negative
p0125_batch_acw10k,PHerc0125,w109,ink,0.00027,1,186.0,84.46,negative
p0125_batch_acw10k,PHerc0125,w109,ink_reverse,0.00025,1,190.0,85.36,negative
p0125_batch_acw10k,PHerc0125,w111,ink,0.00034,1,195.0,87.7,negative
p0125_batch_acw10k,PHerc0125,w111,ink_reverse,0.00040,2,197.0,86.62,negative
p0125_batch_acw10k,PHerc0125,w113,ink,0.00070,3,199.0,89.17,negative
p0125_batch_acw10k,PHerc0125,w113,ink_reverse,0.00049,3,197.0,85.56,negative
p0125_batch_acw10k,PHerc0125,w115,ink,0.00130,5,201.0,91.39,negative
p0125_batch_acw10k,PHerc0125,w115,ink_reverse,0.00150,6,202.0,88.71,negative
p0125_batch_acw10k,PHerc0125,w117,ink,0.00258,5,203.0,96.63,negative
p0125_batch_acw10k,PHerc0125,w117,ink_reverse,0.00282,9,203.0,94.25,negative
p0125_batch_acw10k,PHerc0125,w119,ink,0.00438,12,204.0,97.95,inspect
p0125_batch_acw10k,PHerc0125,w119,ink_reverse,0.00438,17,204.0,97.36,inspect
p0125_batch_acw10k,PHerc0125,w121,ink,0.00044,1,198.0,85.32,negative
p0125_batch_acw10k,PHerc0125,w121,ink_reverse,0.00103,3,201.0,87.37,negative
p0125_batch_acw10k,PHerc0125,w123,ink,0.00097,1,200.0,82.41,negative
p0125_batch_acw10k,PHerc0125,w123,ink_reverse,0.00126,4,202.0,82.28,negative
p0125_batch_acw10k,PHerc0125,w125,ink,0.00130,3,201.0,66.85,negative
p0125_batch_acw10k,PHerc0125,w125,ink_reverse,0.00066,2,199.0,66.6,negative
